publication,pages,note,chapter,venue
http://localhost/publications/articles/Journal1/1942/Article15,76,negatively witnesses pharisaical flaunting divergence semitraditional negotiators greaves,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article16,70,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article17,,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article18,69,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article20,69,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article21,5,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article22,10,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article23,166,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article24,155,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article25,106,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1942/Article26,41,,,http://localhost/publications/journals/Journal1/1942
http://localhost/publications/articles/Journal1/1943/Article1,105,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article2,194,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article3,73,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article4,88,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article5,28,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article6,147,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article7,146,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article8,,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article9,,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article10,107,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article11,124,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article12,83,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article13,152,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article14,65,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article15,38,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article16,45,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article17,96,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article18,13,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article19,146,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article20,169,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article21,98,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article22,63,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article23,3,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article24,188,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article25,105,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article26,132,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article27,99,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article28,92,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article29,167,,,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1944/Article1,118,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article2,156,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article3,127,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article4,69,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article5,112,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article6,12,microspace fixup scurf snowballed practicably inflamed salesclerk forehoof clonked mistreat,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article7,142,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article8,87,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article9,105,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article10,149,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article11,167,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article12,85,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article13,186,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article14,16,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article15,2,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article16,98,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article17,112,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article18,169,administerings nonsuccess opticians lushes foremost dishtowels croutons dozers cootie undergoes nympholeptic fogless,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article19,74,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article20,52,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article21,30,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article22,156,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article23,105,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article24,103,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article25,169,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article26,187,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article27,27,spiffiest reinformed synfuel swiftest baronages warping fraternize despondency insurrectionaries backspin hoisting bourgeoned,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article28,5,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article29,163,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article30,76,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article31,,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article32,86,,,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1945/Article1,76,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article2,89,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article3,,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article4,120,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article5,68,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article6,147,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article7,155,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article8,28,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article9,76,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article10,111,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article11,131,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article12,30,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article13,154,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article14,37,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article15,125,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article16,,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article17,,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article18,,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article19,58,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article20,42,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article21,134,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article22,186,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article23,15,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article24,163,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article25,44,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article26,68,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article27,163,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article28,99,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article29,182,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article30,178,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article31,199,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article32,139,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article33,152,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article34,200,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article35,163,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article36,,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article37,11,,,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1946/Article1,175,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article2,50,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article3,10,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article4,16,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article5,30,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article6,134,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article7,163,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article8,,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article9,73,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article10,39,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article11,77,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article12,,tarnishable centralizes nonferrous pathological donut benthos superlatives lustrum subduals directorship classily,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article13,191,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article14,,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article15,4,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article16,24,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article17,164,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article18,119,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article19,65,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article20,80,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article21,9,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article22,7,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article23,61,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article24,165,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article25,14,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article26,96,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article27,26,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article28,142,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article29,74,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article30,72,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article31,76,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article32,16,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article33,196,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article34,82,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article35,160,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article36,49,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article37,191,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article38,129,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article39,27,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article40,195,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article41,94,,,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1947/Article1,,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article2,147,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article3,5,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article4,88,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article5,8,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article6,198,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article7,,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article8,28,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article9,62,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article10,,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article11,100,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article12,153,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article13,55,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article14,168,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article15,178,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article16,108,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article17,152,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article18,109,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article19,101,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article20,199,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article21,38,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article22,15,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article23,,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article24,119,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article25,46,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article26,122,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article27,86,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article28,188,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article29,101,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article30,154,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article31,156,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article32,177,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article33,35,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article34,116,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article35,76,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article36,172,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article37,79,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article38,56,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article39,165,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article40,,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article41,99,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article42,57,snobbishness pelletizing nickering beatitudes genes cubebs popping interplead halavahs frettiest,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article43,52,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article44,76,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article45,,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article46,57,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article47,134,,,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1948/Article1,91,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article2,75,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article3,,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article4,,unraised leanest witling prebilling wordbooks kasha nativity lacks facelift,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article5,8,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article6,89,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article7,125,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article8,3,pardoner dresser stubbornest recitalists revived palpators scoffing wirepullers rabbinates uniting surprised,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article9,8,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article10,24,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article11,31,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article12,82,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article13,163,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article14,55,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article15,186,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article16,177,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article17,62,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article18,118,,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article19,145,challenger salves agentry frothiness ignorantness undulant anoint grot extracts giftedly,,http://localhost/publications/journals/Journal1/1948
http://localhost/publications/articles/Journal1/1948/Article20,80,,,http://localhost/publications/journals/Journal1/1948
