publication,type
http://localhost/publications/articles/Journal1/1943/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article27,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article28,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article29,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article27,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article28,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article29,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article30,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article31,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article32,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article27,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article28,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article29,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article30,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article31,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article32,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article33,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article34,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article35,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article36,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article37,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article27,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article28,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article29,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article30,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article31,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article32,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article33,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article34,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article35,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article36,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article37,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article38,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article39,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article40,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article41,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article27,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article28,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article29,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article30,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article31,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article32,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article33,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article34,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article35,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article36,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article37,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article38,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article39,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article40,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article41,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article42,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article43,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article44,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article45,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article46,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article47,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article22,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article23,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article24,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article25,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article26,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article27,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article28,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article29,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article30,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article31,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article32,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article33,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article34,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article35,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article36,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article37,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article38,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article39,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article40,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article41,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article42,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article43,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article44,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article45,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article46,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article47,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article48,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article49,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article50,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article51,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article52,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article1,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article2,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article3,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article4,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article5,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article6,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article7,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article8,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article9,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article10,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article11,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article12,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article13,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article14,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article15,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article16,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article17,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article18,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article19,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article20,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article50,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article52,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article54,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article56,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1949/Article58,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal2/1949/Article21,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal2/1949/Article22,http://localhost/vocabulary/bench/Article
