document,cdrom
http://localhost/publications/articles/Journal17/1970/Article581,http://www.unburdened.tld/embellished/stratigraphic.html
http://localhost/publications/inprocs/Proceeding9/1970/Inproceeding339,http://www.radicated.tld/prorestoration/cirrostratus.html
http://localhost/publications/articles/Journal18/1970/Article604,http://www.glimmers.tld/possessively/peeps.html
http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding15,http://www.unbaptized.tld/reintroduce/oversuspicious.html
http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding26,http://www.refortifying.tld/quivered/pollutants.html
http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding39,http://www.slipknot.tld/executers/initially.html
http://localhost/publications/articles/Journal1/1971/Article8,http://www.pennines.tld/fingerings/commemorating.html
http://localhost/publications/articles/Journal1/1971/Article11,http://www.downfallen.tld/exclamations/exemplified.html
http://localhost/publications/articles/Journal3/1971/Article99,http://www.heightened.tld/dews/rimmer.html
http://localhost/publications/articles/Journal6/1971/Article208,http://www.eventually.tld/nonpossessive/clericalists.html
http://localhost/publications/inprocs/Proceeding4/1971/Inproceeding140,http://www.pigeons.tld/capillarity/directing.html
http://localhost/publications/articles/Journal8/1971/Article314,http://www.bestirs.tld/unwrinkled/degenerating.html
http://localhost/publications/inprocs/Proceeding5/1971/Inproceeding188,http://www.effectuates.tld/canyons/furthering.html
http://localhost/publications/inprocs/Proceeding6/1971/Inproceeding227,http://www.jigaboos.tld/triadisms/mateys.html
http://localhost/publications/articles/Journal13/1971/Article517,http://www.exciters.tld/covenanted/masker.html
http://localhost/publications/inprocs/Proceeding7/1971/Inproceeding246,http://www.fizzled.tld/batching/bystanders.html
http://localhost/publications/inprocs/Proceeding8/1971/Inproceeding318,http://www.meetly.tld/uvularly/bucko.html
http://localhost/publications/articles/Journal17/1971/Article664,http://www.lampooned.tld/revisers/plasticizer.html
http://localhost/publications/inprocs/Proceeding10/1971/Inproceeding374,http://www.saluter.tld/dryrot/treaders.html
http://localhost/publications/inprocs/Proceeding10/1971/Inproceeding436,http://www.ginning.tld/tankage/settleability.html
http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding55,http://www.microtomy.tld/bicyclist/potashes.html
http://localhost/publications/inprocs/Proceeding2/1972/Inproceeding63,http://www.eyes.tld/arrests/gringo.html
http://localhost/publications/inprocs/Proceeding2/1972/Inproceeding84,http://www.hasidic.tld/sacrosanctness/boyishness.html
http://localhost/publications/articles/Journal3/1972/Article88,http://www.availed.tld/undershorts/renewer.html
http://localhost/publications/articles/Journal4/1972/Article108,http://www.vacuity.tld/monition/gangers.html
http://localhost/publications/articles/Journal6/1972/Article176,http://www.hammy.tld/sulfates/clagging.html
